LineTotal,OrderQty,ProductID,SalesOrderID,UnitPrice,UnitPriceDiscount
419.4589,1,768,45313,419.4589,0
419.4589,1,768,45305,419.4589,0
419.4589,1,768,43687,419.4589,0
419.4589,1,768,45285,419.4589,0
419.4589,1,768,45298,419.4589,0
419.4589,1,768,45335,419.4589,0
419.4589,1,768,45277,419.4589,0
419.4589,1,768,44488,419.4589,0
419.4589,1,768,46028,419.4589,0
419.4589,1,768,43880,419.4589,0
419.4589,1,768,46043,419.4589,0
419.4589,1,768,46101,419.4589,0
419.4589,1,768,43860,419.4589,0
419.4589,1,768,46333,419.4589,0
419.4589,1,768,46038,419.4589,0
419.4589,1,768,44559,419.4589,0
419.4589,1,768,44797,419.4589,0
419.4589,1,768,43886,419.4589,0
419.4589,1,768,46044,419.4589,0
419.4589,1,768,43910,419.4589,0
419.4589,1,768,44512,419.4589,0
419.4589,1,768,45323,419.4589,0
419.4589,1,768,45044,419.4589,0
419.4589,1,768,45060,419.4589,0
419.4589,1,768,45809,419.4589,0
419.4589,1,768,44110,419.4589,0
419.4589,1,768,44526,419.4589,0
419.4589,1,768,44563,419.4589,0
419.4589,1,768,43879,419.4589,0
419.4589,1,768,44124,419.4589,0
419.4589,1,768,45057,419.4589,0
419.4589,1,768,44299,419.4589,0
419.4589,1,768,44531,419.4589,0
419.4589,1,768,43883,419.4589,0
419.4589,1,768,44517,419.4589,0
419.4589,1,768,46363,419.4589,0
419.4589,1,768,44498,419.4589,0
419.4589,1,768,44133,419.4589,0
419.4589,1,768,45065,419.4589,0
419.4589,1,768,45798,419.4589,0
419.4589,1,768,46042,419.4589,0
419.4589,1,768,46059,419.4589,0
419.4589,1,768,44313,419.4589,0
419.4589,1,768,44768,419.4589,0
419.4589,1,768,43692,419.4589,0
419.4589,1,768,44533,419.4589,0
419.4589,1,768,46071,419.4589,0
419.4589,1,768,45039,419.4589,0
419.4589,1,768,44555,419.4589,0
419.4589,1,768,44782,419.4589,0
419.4589,1,768,46068,419.4589,0
419.4589,1,768,44773,419.4589,0
419.4589,1,768,44509,419.4589,0
419.4589,1,768,45074,419.4589,0
419.4589,1,768,44085,419.4589,0
419.4589,1,768,44494,419.4589,0
419.4589,1,768,45309,419.4589,0
419.4589,1,768,44538,419.4589,0
419.4589,1,768,45283,419.4589,0
419.4589,1,768,45288,419.4589,0
419.4589,1,768,44744,419.4589,0
419.4589,1,768,45522,419.4589,0
419.4589,1,768,43681,419.4589,0
419.4589,1,768,43888,419.4589,0
419.4589,1,768,45291,419.4589,0
419.4589,1,768,46343,419.4589,0
419.4589,1,768,44093,419.4589,0
419.4589,1,768,44520,419.4589,0
419.4589,1,768,46355,419.4589,0
419.4589,1,768,44117,419.4589,0
419.4589,1,768,46058,419.4589,0
838.9178,2,768,43861,419.4589,0
838.9178,2,768,44283,419.4589,0
838.9178,2,768,46341,419.4589,0
838.9178,2,768,43666,419.4589,0
838.9178,2,768,43668,419.4589,0
838.9178,2,768,45332,419.4589,0
838.9178,2,768,45339,419.4589,0
838.9178,2,768,44801,419.4589,0
838.9178,2,768,46034,419.4589,0
838.9178,2,768,43689,419.4589,0
838.9178,2,768,45062,419.4589,0
838.9178,2,768,46349,419.4589,0
838.9178,2,768,44129,419.4589,0
838.9178,2,768,45284,419.4589,0
838.9178,2,768,44550,419.4589,0
838.9178,2,768,45344,419.4589,0
838.9178,2,768,46377,419.4589,0
838.9178,2,768,44314,419.4589,0
838.9178,2,768,44496,419.4589,0
838.9178,2,768,44317,419.4589,0
838.9178,2,768,46049,419.4589,0
838.9178,2,768,44298,419.4589,0
838.9178,2,768,43671,419.4589,0
838.9178,2,768,46356,419.4589,0
838.9178,2,768,46086,419.4589,0
838.9178,2,768,43873,419.4589,0
838.9178,2,768,46055,419.4589,0
838.9178,2,768,45070,419.4589,0
838.9178,2,768,45331,419.4589,0
838.9178,2,768,44296,419.4589,0
838.9178,2,768,45793,419.4589,0
838.9178,2,768,44286,419.4589,0
838.9178,2,768,45786,419.4589,0
838.9178,2,768,45795,419.4589,0
838.9178,2,768,44301,419.4589,0
838.9178,2,768,45317,419.4589,0
838.9178,2,768,44525,419.4589,0
838.9178,2,768,44778,419.4589,0
838.9178,2,768,44562,419.4589,0
838.9178,2,768,44293,419.4589,0
838.9178,2,768,45520,419.4589,0
838.9178,2,768,43662,419.4589,0
838.9178,2,768,45059,419.4589,0
838.9178,2,768,44079,419.4589,0
838.9178,2,768,45549,419.4589,0
838.9178,2,768,43855,419.4589,0
1677.8356,4,768,46076,419.4589,0
1677.8356,4,768,44522,419.4589,0
1677.8356,4,768,46387,419.4589,0
1677.8356,4,768,44114,419.4589,0
1677.8356,4,768,45527,419.4589,0
1677.8356,4,768,45536,419.4589,0
1677.8356,4,768,46100,419.4589,0
1677.8356,4,768,45781,419.4589,0
1677.8356,4,768,44547,419.4589,0
1677.8356,4,768,45577,419.4589,0
1677.8356,4,768,44288,419.4589,0
4228.146,9,768,47694,469.794,0
4228.146,9,768,46616,469.794,0
2348.97,5,768,49123,469.794,0
2348.97,5,768,47663,469.794,0
2348.97,5,768,48766,469.794,0
2348.97,5,768,49523,469.794,0
2348.97,5,768,47718,469.794,0
2348.97,5,768,49127,469.794,0
2348.97,5,768,47670,469.794,0
2348.97,5,768,50199,469.794,0
2348.97,5,768,49147,469.794,0
2348.97,5,768,49104,469.794,0
2348.97,5,768,48311,469.794,0
2348.97,5,768,48336,469.794,0
2348.97,5,768,49509,469.794,0
2348.97,5,768,50289,469.794,0
