CustomerID,TerritoryID,CustomerType
11634,1,I
12084,1,I
12143,1,I
12912,1,I
13180,1,I
13393,1,I
13396,1,I
13653,1,I
14411,1,I
14510,1,I
14599,1,I
15332,1,I
15573,1,I
15825,1,I
16354,1,I
16502,1,I
16805,1,I
16991,1,I
17272,1,I
17359,1,I
17368,1,I
17401,1,I
18074,1,I
18121,1,I
18404,1,I
18553,1,I
18688,1,I
18787,1,I
19684,1,I
19720,1,I
19737,1,I
19871,1,I
20026,1,I
20399,1,I
21395,1,I
21626,1,I
21728,1,I
21754,1,I
22115,1,I
22160,1,I
22290,1,I
22376,1,I
23037,1,I
23706,1,I
24498,1,I
24936,1,I
25067,1,I
25979,1,I
26259,1,I
26275,1,I
26487,1,I
26580,1,I
26717,1,I
27047,1,I
27221,1,I
27629,1,I
27911,1,I
28004,1,I
28017,1,I
28266,1,I
28870,1,I
29217,1,I
11013,1,I
11062,1,I
11133,1,I
11144,1,I
11746,1,I
11926,1,I
12445,1,I
13063,1,I
13083,1,I
13248,1,I
13384,1,I
13761,1,I
13870,1,I
13911,1,I
13926,1,I
14000,1,I
14405,1,I
14637,1,I
14887,1,I
15774,1,I
15848,1,I
15934,1,I
15969,1,I
16751,1,I
16757,1,I
16986,1,I
17519,1,I
17540,1,I
17588,1,I
18834,1,I
19985,1,I
20101,1,I
20197,1,I
20281,1,I
20323,1,I
21146,1,I
21483,1,I
21500,1,I
21599,1,I
22007,1,I
22255,1,I
23191,1,I
23263,1,I
23782,1,I
23792,1,I
24222,1,I
24743,1,I
24965,1,I
25000,1,I
25006,1,I
25074,1,I
25146,1,I
25336,1,I
26116,1,I
26249,1,I
26276,1,I
26614,1,I
26726,1,I
27659,1,I
28186,1,I
28297,1,I
28361,1,I
28578,1,I
28780,1,I
11236,1,I
11256,1,I
11274,1,I
11315,1,I
11883,1,I
12098,1,I
13052,1,I
13161,1,I
13172,1,I
13353,1,I
13456,1,I
13721,1,I
13946,1,I
14026,1,I
14437,1,I
14469,1,I
15012,1,I
16216,1,I
16232,1,I
16886,1,I
17379,1,I
17589,1,I
18408,1,I
18661,1,I
18757,1,I
18910,1,I
19202,1,I
19699,1,I
19824,1,I
19852,1,I
20039,1,I
20071,1,I
20390,1,I
20488,1,I
20674,1,I
21289,1,I
21415,1,I
21704,1,I
22101,1,I
22326,1,I
22374,1,I
22721,1,I
22874,1,I
23018,1,I
23038,1,I
23053,1,I
23065,1,I
23169,1,I
23670,1,I
23804,1,I
23850,1,I
24634,1,I
25041,1,I
25285,1,I
25624,1,I
25869,1,I
26284,1,I
26339,1,I
27387,1,I
27465,1,I
27531,1,I
27618,1,I
27638,1,I
28057,1,I
28122,1,I
28347,1,I
28794,1,I
28821,1,I
28822,1,I
29173,1,I
11166,1,I
11278,1,I
12168,1,I
12707,1,I
13979,1,I
14419,1,I
14466,1,I
14573,1,I
14588,1,I
14737,1,I
14888,1,I
15163,1,I
15188,1,I
15297,1,I
15320,1,I
15370,1,I
15952,1,I
15980,1,I
16007,1,I
16137,1,I
16755,1,I
16756,1,I
16801,1,I
16859,1,I
16885,1,I
16954,1,I
17362,1,I
17425,1,I
18227,1,I
18593,1,I
19024,1,I
19126,1,I
20304,1,I
20357,1,I
20378,1,I
20743,1,I
21297,1,I
21340,1,I
21583,1,I
21605,1,I
21814,1,I
22259,1,I
22329,1,I
22543,1,I
23046,1,I
